AsAt,Status,n
08/2026,LODGED,14937
08/2026,CLOSED,438039
08/2026,INVITED,206
08/2026,SUBMITTED,414019
08/2026,HOLD,5020
07/2026,LODGED,17445
07/2026,CLOSED,402712
07/2026,INVITED,2408
07/2026,SUBMITTED,411744
07/2026,HOLD,5364
06/2026,LODGED,19238
06/2026,CLOSED,376340
06/2026,INVITED,3827
06/2026,SUBMITTED,406430
06/2026,HOLD,5457
05/2026,LODGED,16353
05/2026,CLOSED,361481
05/2026,INVITED,1906
05/2026,SUBMITTED,403473
05/2026,HOLD,5382
04/2026,LODGED,16924
04/2026,CLOSED,343888
04/2026,INVITED,2207
04/2026,SUBMITTED,396645
04/2026,HOLD,5156
03/2026,LODGED,17230
03/2026,CLOSED,325974
03/2026,INVITED,1938
03/2026,SUBMITTED,386786
03/2026,HOLD,5021
02/2026,LODGED,18067
02/2026,CLOSED,305142
02/2026,INVITED,1952
02/2026,SUBMITTED,377676
02/2026,HOLD,4877
01/2026,LODGED,18218
01/2026,CLOSED,287522
01/2026,INVITED,1438
01/2026,SUBMITTED,366741
01/2026,HOLD,4667
12/2025,LODGED,18116
12/2025,CLOSED,267475
12/2025,INVITED,3561
12/2025,SUBMITTED,355865
12/2025,HOLD,4527
11/2025,LODGED,17112
11/2025,CLOSED,250650
11/2025,INVITED,4447
11/2025,SUBMITTED,344802
11/2025,HOLD,4400
10/2025,LODGED,16501
10/2025,CLOSED,231611
10/2025,INVITED,406
10/2025,SUBMITTED,332699
10/2025,HOLD,4144
09/2025,LODGED,16598
09/2025,CLOSED,210366
09/2025,INVITED,1944
09/2025,SUBMITTED,308629
09/2025,HOLD,4067
08/2025,LODGED,16175
08/2025,CLOSED,182992
08/2025,INVITED,2625
08/2025,SUBMITTED,290674
08/2025,HOLD,4025
07/2025,LODGED,16253
07/2025,CLOSED,164453
07/2025,INVITED,231
07/2025,SUBMITTED,272357
07/2025,HOLD,4003
06/2025,LODGED,16098
06/2025,CLOSED,149886
06/2025,INVITED,1191
06/2025,SUBMITTED,253872
06/2025,HOLD,3784
05/2025,LODGED,13614
05/2025,CLOSED,138155
05/2025,INVITED,2335
05/2025,SUBMITTED,239463
05/2025,HOLD,3560
04/2025,LODGED,11627
04/2025,CLOSED,121462
04/2025,INVITED,1676
04/2025,SUBMITTED,222664
04/2025,HOLD,3312
03/2025,LODGED,10684
03/2025,CLOSED,104760
03/2025,INVITED,1507
03/2025,SUBMITTED,202703
03/2025,HOLD,2986
02/2025,LODGED,9851
02/2025,CLOSED,86383
02/2025,INVITED,1663
02/2025,SUBMITTED,180838
02/2025,HOLD,2805
01/2025,LODGED,9118
01/2025,CLOSED,71358
01/2025,INVITED,1553
01/2025,SUBMITTED,160032
01/2025,HOLD,2531
12/2024,LODGED,7813
12/2024,CLOSED,57023
12/2024,INVITED,4920
12/2024,SUBMITTED,136410
12/2024,HOLD,2207
11/2024,LODGED,5804
11/2024,CLOSED,39672
11/2024,INVITED,5801
11/2024,SUBMITTED,113080
11/2024,HOLD,1846
10/2024,LODGED,2909
10/2024,CLOSED,26631
10/2024,INVITED,3334
10/2024,SUBMITTED,86980
10/2024,HOLD,1072
09/2024,LODGED,1588
09/2024,CLOSED,15427
09/2024,INVITED,3357
09/2024,SUBMITTED,50827
09/2024,HOLD,726
-,LODGED,708
-,CLOSED,327
-,INVITED,17800
-,SUBMITTED,373365
-,HOLD,2545
